"Step","D-56-1e5 - train/l1_loss","D-56-1e5 - train/l1_loss__MIN","D-56-1e5 - train/l1_loss__MAX","dino_active_5e5 - train/l1_loss","dino_active_5e5 - train/l1_loss__MIN","dino_active_5e5 - train/l1_loss__MAX","dino_active_reg - train/l1_loss","dino_active_reg - train/l1_loss__MIN","dino_active_reg - train/l1_loss__MAX","R-56 - train/l1_loss","R-56 - train/l1_loss__MIN","R-56 - train/l1_loss__MAX","dino_open_tv_5e5 - train/l1_loss","dino_open_tv_5e5 - train/l1_loss__MIN","dino_open_tv_5e5 - train/l1_loss__MAX"
"1000","0.3971610963344574","0.3971610963344574","0.3971610963344574","0.3236929774284363","0.3236929774284363","0.3236929774284363","0.26027828454971313","0.26027828454971313","0.26027828454971313","0.261018842458725","0.261018842458725","0.261018842458725","0.6376123428344727","0.6376123428344727","0.6376123428344727"
"2000","0.2976211607456207","0.2976211607456207","0.2976211607456207","0.317348837852478","0.317348837852478","0.317348837852478","0.3098866641521454","0.3098866641521454","0.3098866641521454","0.1611233800649643","0.1611233800649643","0.1611233800649643","0.29336637258529663","0.29336637258529663","0.29336637258529663"
"3000","0.27279290556907654","0.27279290556907654","0.27279290556907654","0.20605488121509552","0.20605488121509552","0.20605488121509552","0.2479589432477951","0.2479589432477951","0.2479589432477951","0.14083914458751678","0.14083914458751678","0.14083914458751678","0.3084036707878113","0.3084036707878113","0.3084036707878113"
"4000","0.21592703461647034","0.21592703461647034","0.21592703461647034","0.2713330090045929","0.2713330090045929","0.2713330090045929","0.2157222479581833","0.2157222479581833","0.2157222479581833","0.12415144592523575","0.12415144592523575","0.12415144592523575","0.3792095482349396","0.3792095482349396","0.3792095482349396"
"5000","0.22879871726036072","0.22879871726036072","0.22879871726036072","0.18623052537441254","0.18623052537441254","0.18623052537441254","0.18674272298812866","0.18674272298812866","0.18674272298812866","0.11381015926599503","0.11381015926599503","0.11381015926599503","0.2971530556678772","0.2971530556678772","0.2971530556678772"
"6000","0.17119130492210388","0.17119130492210388","0.17119130492210388","0.25205302238464355","0.25205302238464355","0.25205302238464355","0.3043697774410248","0.3043697774410248","0.3043697774410248","0.09557420015335083","0.09557420015335083","0.09557420015335083","0.18277360498905182","0.18277360498905182","0.18277360498905182"
"7000","0.20943939685821533","0.20943939685821533","0.20943939685821533","0.21547584235668182","0.21547584235668182","0.21547584235668182","0.1994429975748062","0.1994429975748062","0.1994429975748062","0.09198883920907974","0.09198883920907974","0.09198883920907974","0.15335358679294586","0.15335358679294586","0.15335358679294586"
"8000","0.19687046110630035","0.19687046110630035","0.19687046110630035","0.28521522879600525","0.28521522879600525","0.28521522879600525","0.20636135339736938","0.20636135339736938","0.20636135339736938","0.07904110848903656","0.07904110848903656","0.07904110848903656","0.27275350689888","0.27275350689888","0.27275350689888"
"9000","0.14521858096122742","0.14521858096122742","0.14521858096122742","0.1935201734304428","0.1935201734304428","0.1935201734304428","0.1781238317489624","0.1781238317489624","0.1781238317489624","0.08451087027788162","0.08451087027788162","0.08451087027788162","0.45390355587005615","0.45390355587005615","0.45390355587005615"
"10000","0.15994387865066528","0.15994387865066528","0.15994387865066528","0.17954301834106445","0.17954301834106445","0.17954301834106445","0.19706255197525024","0.19706255197525024","0.19706255197525024","0.08873870223760605","0.08873870223760605","0.08873870223760605","0.1760149449110031","0.1760149449110031","0.1760149449110031"
